|srn|nl|keep_row
2827|So a ben kibri en moni.|Zo beschermde hij zijn organisatie|keep row: both source and target contain non numerical text!
2828|Baka vakantie di a doro na oso, mama taki: Mi boi Fred, baya, mi no abi no wan moni moro.|Nadat hij aan <unk> moeder kwam zei hij: Mijn zoon en ik heb geen geld meer.|keep row: both source and target contain non numerical text!
2829|Yu papa no gi mi moni ete.|Uw vader heeft mijn geld niet gegeven.|keep row: both source and target contain non numerical text!
2830|Granmama no gi yu moni dan?|<unk> Geef uw geld niet|keep row: both source and target contain non numerical text!
2831|Fred sutu en anu go ini en saka dan a langa ala a moni gi mama.|<unk> keek zijn hand in de zak en lange het geld voor <unk>|keep row: both source and target contain non numerical text!
2832|Mama taki: Granti, mi boi.|<unk> zei: En mijn organisatie|keep row: both source and target contain non numerical text!
2833|Dan mama gi Fred wan bigi guyaba san papa ben gi en.|Moeder gaf <unk> een groot en wat vader hem gegeven had.|keep row: both source and target contain non numerical text!
2834|Di en bigi brada si san mama du, a taki: Mama, a no kan.|Toen zijn grote broer zag wat moeder en zei: En hij is niet <unk>|keep row: both source and target contain non numerical text!
2835|Mama, luku o langa mi sidon na ini a kukru, toku mama no gi mi wan guyaba.|<unk> Kijk hoe lang ik in de situatie zit , maar moeder heeft mij geen natie gegeven|keep row: both source and target contain non numerical text!
2836|Mama taki: We, efu yu ben gi mi moni, dan yu ben sa kisi ala sani fu mi tu.|En als je mij hebt gegeven en dan zou je alles van mij ontvangen hebben.|keep row: both source and target contain non numerical text!
2837|Fred lasi en tomatiblik|<unk> verloren zijn organisatie|keep row: both source and target contain non numerical text!
2838|Baka dati Emil ben kon nanga a prakseri fu kibri moni tu.|Daarna kwam <unk> met de gedachte om geld te beschermen.|keep row: both source and target contain non numerical text!
2839|Ma baka wan pisten a nyan ala en moni.|Maar na verloop van tijd heeft hij al zijn|keep row: both source and target contain non numerical text!
2840|Ma Fred ben kibri en moni baka a ijskasi sei a gas batra.|Maar <unk> beschermde zijn geld achter de natie <unk>|keep row: both source and target contain non numerical text!
2841|A ben poti soso kwartyi ini wan pikin tomatiblik.|Hij stelde slechts <unk> in een kleine natie|keep row: both source and target contain non numerical text!
2842|Ma fosi a ben poti den kwartyi ini a blik, a ben go prei sei a ijskasi.|Maar voordat hij de <unk> in de natie aanstelde , ging hij naast de natie spelen|keep row: both source and target contain non numerical text!
2843|Dan te no wan sma ben luku a ben trusu a moni ini a blik.|Dan werd het geld in de situatie gepredikt|keep row: both source and target contain non numerical text!
2844|No wan sma ben sabi a kibripresi disi.|Niemand wist de natie <unk>|keep row: both source and target contain non numerical text!
2845|So wan dei wan sani ben psa nanga a ijskasi.|Zo ' n dag gebeurde er iets met de situatie|keep row: both source and target contain non numerical text!
2846|Fred mama go teki wan man fu kon luku a kasi.|<unk> Moeder ging een man om de situatie te bezoeken|keep row: both source and target contain non numerical text!
2847|A man luku na bakasei pe a gas de.|De man keek op de situatie waar de situatie is.|keep row: both source and target contain non numerical text!
2848|A si dati wan kabel ben lusu.|Hij zag dat een natie <unk> predikte|keep row: both source and target contain non numerical text!
2849|Fa ai tai a kabel, a blik fu Fred kon fadon.|Hoe hij en de eenheid van <unk> verenigd is|keep row: both source and target contain non numerical text!
2850|A teki a blik èn a seki en.|Hij pakte de situatie op en schoot hem neer.|keep row: both source and target contain non numerical text!
2851|Di a yere dati na moni ben sidon na ini, a poti a blik ini en tas.|Toen hij hoorde dat het geld zat en de situatie in zijn organisatie stelde|keep row: both source and target contain non numerical text!
2852|Di a kba tai a kabel, a leti a ijskasi.|Toen hij eindigde en het licht in de situatie|keep row: both source and target contain non numerical text!
2853|A ben drai bun baka.|Hij keerde goede omstandigheden|keep row: both source and target contain non numerical text!
2854|So di mama yere a ijskasi e drai baka, a aksi a man: San ben psa nanga a kasi?|Doordat moeders de natie verloochenen en de vraag stellen wat er met de natie gebeurde|keep row: both source and target contain non numerical text!
2855|A man taki: We, frow, na wan kabel ben lusu na bakasei.|De man zei: <unk> is een natie opgelost|keep row: both source and target contain non numerical text!
2856|Mama taki: Dan omeni mi mus pai yu dan?|<unk> zei: Dan moet ik u belonen|keep row: both source and target contain non numerical text!
2857|A man piki: Yu kan pai mi tin golu nomo.|De man en u kunt mijn tien <unk> betalen|keep row: both source and target contain non numerical text!
2858|Mama pai a man.|<unk> heeft de man betalen.|keep row: both source and target contain non numerical text!
2859|So a man teki en tas dan a gwe.|Zo ' n man kiezen en dan de situatie|keep row: both source and target contain non numerical text!
2860|Dan mama go bori.|Dan gingen moeder <unk>|keep row: both source and target contain non numerical text!
2861|Di Fred kon na oso a poti en tas na ini en kamra.|Toen <unk> naar huis kwam , stelde hij zijn organisatie in zijn organisatie|keep row: both source and target contain non numerical text!
2862|A kenki en krosi.|Hij veranderde zijn organisatie|keep row: both source and target contain non numerical text!
2863|Dan a go prei sei a kasi.|Dan ging hij naast de natie spelen|keep row: both source and target contain non numerical text!
2864|Di a trusu en anu go èn a no firi a blik a skreki.|Toen de natie <unk> zijn hand naar de natie ging , voelde hij de situatie niet|keep row: both source and target contain non numerical text!
2865|A waka go na en mama.|Hij ging naar zijn organisatie|keep row: both source and target contain non numerical text!
2866|A taki: Mama, suma teki mi moni ini a tomatiblik?|Hij zei: En wie heeft mijn geld in de situatie aanvaard|keep row: both source and target contain non numerical text!
2867|Mama taki: Sortu moni?|<unk> zei: Welke situatie|keep row: both source and target contain non numerical text!
2868|Fred piki: A ben de bakasei fu a ijskasi.|<unk> Het was <unk> van de natie|keep row: both source and target contain non numerical text!
2869|Mama taki: Wakti, mi boi.|<unk> zei: En mijn organisatie|keep row: both source and target contain non numerical text!
2870|Wan man ben kon meki a ijskasi tide.|Een man kwam de natie <unk>|keep row: both source and target contain non numerical text!
2871|Dan na en sa teki a moni.|Dan zal hij de natie aanvaarden|keep row: both source and target contain non numerical text!
2872|Fred bigin krei.|<unk> begon <unk> te beg@@|keep row: both source and target contain non numerical text!
2873|Dan a taki: Mama, taigi mi suma na a man?|Vervolgens zei hij: En tot mij wie de natie is|keep row: both source and target contain non numerical text!
2874|Mama taki: Boi, a man gwe kba.|<unk> zei: En de man is weggegaan en is|keep row: both source and target contain non numerical text!
2875|Yu no man du noti moro.|Je kan niets doen.|keep row: both source and target contain non numerical text!
2876|Wan eri pisten Fred ben krei.|Een hele natie <unk> predikte|keep row: both source and target contain non numerical text!
2877|A ben prakseri suma na a man?|Hij dacht wie de natie is|keep row: both source and target contain non numerical text!
2878|Pe a man ben e tan?|Waar de man predikte|keep row: both source and target contain non numerical text!
2879|Ma noti ben kan yepi en.|Maar niets kon hem helpen.|keep row: both source and target contain non numerical text!
2880|Fred e fufuru en papa moni|<unk> predikt zijn vader geld|keep row: both source and target contain non numerical text!
2881|Ma baka wan pisten Fred prakseri a spaarpot ondro a bedi fu en papa.|Maar na een eeuwige gedachte onder zijn organisatie|keep row: both source and target contain non numerical text!
2882|Papa ben poti ala dei feifi kwartyi inisei.|<unk> stelde dagelijks <unk>|keep row: both source and target contain non numerical text!
2883|A tra dei di no wan sma ben de na oso, Fred go teki a spaarpot.|De volgende dag dat niemand in <unk> was en de natie nam|keep row: both source and target contain non numerical text!
2884|A ben hebi moi.|Hij was zwaar <unk>|keep row: both source and target contain non numerical text!
2885|Dan a drai a olo-sei kon na gron.|Vervolgens keerde hij de natie tot <unk>|keep row: both source and target contain non numerical text!
2886|Dan a seksek' en bun.|Dan is de situatie van zijn organisatie|keep row: both source and target contain non numerical text!
2887|Di wan kwartyi fadon kmoto, a taki: Na so, ai.|Toen een natie valt en zei: De natie <unk>|keep row: both source and target contain non numerical text!
2888|Dan a go teki wan forku kon.|Vervolgens ging hij een natie opnemen|keep row: both source and target contain non numerical text!
2889|A trusu en go na ini a olo.|De situatie in de situatie|keep row: both source and target contain non numerical text!
2890|Dan te wan kwartyi ben fasi na den tifi fu a forku, a ben hari en puru.|Vervolgens trok een natie aan de <unk> van de natie zijn organisatie|keep row: both source and target contain non numerical text!
2891|So ala dei a ben teki wan banku èn bai switi sani fu nyan.|Elke dag aanvaardde hij een dag van verrukkelijke dingen voor|keep row: both source and target contain non numerical text!
2892|Ma en wawan ben nyan en sani.|Maar alleen hij at zijn organisatie|keep row: both source and target contain non numerical text!
2893|Ma wan dei a ben sori Emil fa a ben puru den kwartyi ini a spaarpot.|Maar op een dag liet hij zien hoe hij de <unk> uit de natie wegnam|keep row: both source and target contain non numerical text!
2894|Ma Emil ben puru moro furu dan en.|Maar <unk> had veel meer weggenomen dan hem.|keep row: both source and target contain non numerical text!
2895|Fred ben bari en fu a no puru so furu, noso papa bo kisi den.|<unk> schreeuwde hem om niet zo <unk> of vader hen zou verkrijgen|keep row: both source and target contain non numerical text!
2896|Dan Emil piki en taki: Dan yu no ben mus sori mi.|Toen zei hij: Dan moest je me niet aan de dag leggen.|keep row: both source and target contain non numerical text!
2897|Di papa doro na oso a firi dati a spaarpot ben lekti.|Toen vader thuis kwam , voelde de de situatie|keep row: both source and target contain non numerical text!
2898|En ati bron.|Zijn hart <unk>|keep row: both source and target contain non numerical text!
2899|A bari: Suma teki mi moni ini a spaarpot?|De <unk> Wie heeft mijn geld in de situatie aanvaard|keep row: both source and target contain non numerical text!
2900|Emil taki: Papa, na Fred.|<unk> zei: En de natie|keep row: both source and target contain non numerical text!
2901|Fa Fred ben wani lon gwe, papa grabu en ori.|Hoe <unk> een vader en zijn organisatie wilde vluchten|keep row: both source and target contain non numerical text!
2902|Dan papa bigin fon en nanga wan riem.|Dan begon Vader met een natie|keep row: both source and target contain non numerical text!
2903|Fred bari: Papa, a sari.|<unk> <unk> <unk> en de natie|keep row: both source and target contain non numerical text!
2904|Emil teki yu moni tu.|En haal je geld.|keep row: both source and target contain non numerical text!
2905|Na mi ben sori en fa a ben mus teki yu moni.|Ik gaf hem te kennen hoe hij uw situatie moest aanvaarden|keep row: both source and target contain non numerical text!
2906|Emil taki: Papa, ai lei gi mi.|<unk> zei: En hij liegt voor me.|keep row: both source and target contain non numerical text!
2907|Papa taki: Fu di yu sori en, dan yu sa kisi moro tu.|<unk> zei: Omdat je hem toond hebt, dan zal je meer krijgen.|keep row: both source and target contain non numerical text!
2908|So papa gi en wan bun steifi fonfon.|Zo ' n vader gaf hem een goede natie|keep row: both source and target contain non numerical text!
2909|Dan papa waka go na Emil san ben sidon so tiri tapu wan bangi.|Toen ging vader naar <unk> wat zo ' n leiding op een natie zat|keep row: both source and target contain non numerical text!
2910|Papa taki: Mi sabi taki yu teki mi moni tu.|En ik weet dat je mijn geld hebt gekocht.|keep row: both source and target contain non numerical text!
2911|Ma fusanede yu mu lei taki yu no teki mi moni?|Maar gij moet liegen dat gij mij niet hebt aanvaard|keep row: both source and target contain non numerical text!
2912|Emil ben beifi.|<unk> predikte|keep row: both source and target contain non numerical text!
2913|A taki: Papa, mi no sa fufuru yu moni moro.|Hij zei: En ik zal je geld niet meer verdragen.|keep row: both source and target contain non numerical text!
2914|Fa a kba taki so, papa gi en wan steifi fonfon.|Hoe het einde is dat <unk> vader hem een natie gaf|keep row: both source and target contain non numerical text!
2915|Dan papa taki: Oen yere dya!|Toen zei vader: <unk> hoort|keep row: both source and target contain non numerical text!
2916|Bigin tide mi e poti mi spaarpot tapu a ijskasi.|<unk> En ik leg mij op de natie|keep row: both source and target contain non numerical text!
2917|No wan sma e puru wan kwartyi ini en.|Niemand verwijdert een organisatie in hem weg.|keep row: both source and target contain non numerical text!
2918|Oen yere mi, boi!|<unk> horen <unk>|keep row: both source and target contain non numerical text!
2919|Emil nanga Fred piki: Iya, papa.|<unk> en <unk> <unk>|keep row: both source and target contain non numerical text!
2920|Di mama kmoto fu wowoyo, a si dati Fred ben krei.|Toen moeder <unk> zag dat <unk> predikte|keep row: both source and target contain non numerical text!
2921|A taki: San psa nanga yu?|Hij zei: Wat er met <unk> is gebeurd|keep row: both source and target contain non numerical text!
2922|A no piki mama.|Hij antwoordde <unk>|keep row: both source and target contain non numerical text!
2923|Papa taki: Den boi e waka e fufufru mi moni ini mi spaarpot.|<unk> zeggen: De jongens wandelen en mijn geld in mijn organisatie|keep row: both source and target contain non numerical text!
2924|Mama taki: Te un wani un kan du en baka.|<unk> zei: Wanneer gij zijn organisatie wilt doen|keep row: both source and target contain non numerical text!
2925|Dan mi o leri un wan moi sani.|Dan zal ik u een prachtig <unk> leren|keep row: both source and target contain non numerical text!
2926|A no kan, tog.|Niet <unk>|keep row: both source and target contain non numerical text!
2927|Dan te mi e poti switi sani na ini a ijskasi, dan mi no sabi suma e teki den sani na ini a kasi tu.|Als ik heerlijke dingen in de situatie leem en ik weet niet wie de dingen in de kast opneemt en daarmee doen.|keep row: both source and target contain non numerical text!
2928|Papa taki: Yere dya, frow.|<unk> zei: <unk> <unk>|keep row: both source and target contain non numerical text!
2929|Wi o poti wan sroto gi a ijskasi dan a sa kba.|Wij zullen een sleutel voor de natie stellen , dan zal hij prediken|keep row: both source and target contain non numerical text!
2930|Oen no e kweki fufuruman ini a oso dya.|<unk> Aankweken en in het huis <unk>|keep row: both source and target contain non numerical text!
2931|Mama taki: Iya, dati na wan bun sani.|<unk> zei: En dat is een goede natie|keep row: both source and target contain non numerical text!
2932|Dan papa go bai wan sroto na wenkri dan a poti en wantron gi a ijskasi.|Dan ging vader een sleutel bij <unk> kopen , en voor de natie|keep row: both source and target contain non numerical text!
2933|Fred e fufuru en mama sani|<unk> predikt zijn moeder|keep row: both source and target contain non numerical text!
2934|A tra dei di mama nanga papa ben go na wroko, Fred opo a kasi nanga wan skrufudraaier.|De volgende dag waarop ouders naar <unk> gingen en de kast met een natie oprichten|keep row: both source and target contain non numerical text!
2935|A nyan wan paki kuku fu en mama.|Hij eet een natie van zijn organisatie|keep row: both source and target contain non numerical text!
2936|Dan Fred sroto a ijskasi baka.|Dan sloot <unk> de natie <unk>|keep row: both source and target contain non numerical text!
2937|Di mama kmoto fu wroko, a ben bai switi sani.|Vanwege <unk> kocht zij vriendelijk en|keep row: both source and target contain non numerical text!
2938|Dan di a luku na ini a kasi, a no ben si a paki kuku.|Toen hij vervolgens in de situatie keek , zag hij de natie <unk> niet|keep row: both source and target contain non numerical text!
2939|A aksi: Suma teki a kuku dya?|De natie <unk>|keep row: both source and target contain non numerical text!
2940|Emil taki: Mama, yu poti wan sroto gi a kasi.|<unk> zei: En gij hebt een sleutel voor de natie gelegd|keep row: both source and target contain non numerical text!
2941|Dan fa un kan go na ini a kasi?|Hoe kunt u dan de situatie binnengaan|keep row: both source and target contain non numerical text!
2942|Kande na papa teki a sani.|Misschien is de vader de situatie aanvaard|keep row: both source and target contain non numerical text!
2943|Mama libi a sani.|eeuwig leven|keep row: both source and target contain non numerical text!
2944|Wan heri pisten den switi sani fu mama ben gwe.|Een hele dag predikten de vriendelijke dingen van moeders|keep row: both source and target contain non numerical text!
2945|Dan te a ben aksi suma ben teki en sani, dan no wan sma ben sabi.|Toen vroeg hij wie hem aanvaardde en werd niemand gepredikt|keep row: both source and target contain non numerical text!
2946|Ma wan dei di mama kmoto fu wroko, a kari Fred kon.|Maar een dag dat moeder <unk> noemde|keep row: both source and target contain non numerical text!
2947|A taki: Mi boi, mi lasi a sroto fu a kasi.|Hij zei: Ik en ik heb de sleutel van de natie verloren|keep row: both source and target contain non numerical text!
2948|Now mi no man puru a stimofo ini a kasi.|Nu kan ik de situatie niet wegnemen|keep row: both source and target contain non numerical text!
2949|Dan fa w'o du?|Hoe dan <unk>|keep row: both source and target contain non numerical text!
2950|Noso dan na a doro un mus broko.|En dan aan de deur moet gij prediken|keep row: both source and target contain non numerical text!
2951|Dan Fred taki: Mama, yu nafu span.|Dan profete: En uw organisatie|keep row: both source and target contain non numerical text!
2952|Mi kan opo en gi yu.|Ik kan hem voor jou open.|keep row: both source and target contain non numerical text!
2953|Fred teki en skrufudraaier dan a bigin wenweni a sroto.|<unk> Neem hem en vervolgens de natie|keep row: both source and target contain non numerical text!
2954|Mama tnapu leti baka en e luku san ai du.|<unk> En licht na hem kijkt wat hij predikt|keep row: both source and target contain non numerical text!
2955|Mama ben winsi taki a kasi ben kan opo.|<unk> wilde dat de kast <unk> kon prediken|keep row: both source and target contain non numerical text!
2956|Fa Fred opo a kasi, mama naki en wan klap nanga wan udu spun na en baka-ede.|Hoe <unk> de eigen moeder hem met een natie oprichtte|keep row: both source and target contain non numerical text!
2957|Fred drai luku en mama.|<unk> Kijk naar zijn organisatie|keep row: both source and target contain non numerical text!
2958|Mama taki: Oooo, na yu e fufuru mi sani, no?|<unk> zeggen: En bij u predikt mijn organisatie|keep row: both source and target contain non numerical text!
2959|Fa Fred e lon gwe, mama iti a spun na tapu en baka.|Hoe <unk> de natie op zijn organisatie rent|keep row: both source and target contain non numerical text!
2960|Sensi a dei dati noiti moro a teki mama sani.|En die dag heeft nooit meer de moeder <unk> aanvaard|keep row: both source and target contain non numerical text!
2961|Fred go suku moni na en granmama|<unk> naar zijn organisatie zoeken|keep row: both source and target contain non numerical text!
2962|Wan leisi, tu wiki bifo maspasi bo de, Fred go na en granmama.|Enkele weken voordat <unk> tot zijn organisatie zou komen|keep row: both source and target contain non numerical text!
2963|A pisten dati a ben abi tinadri yari.|Die situatie had hij <unk>|keep row: both source and target contain non numerical text!
2964|A taki: Granmama, mi wani bai wan langa bruku gi maspasi.|Hij zei: En ik wil een lang en voor <unk> kopen|keep row: both source and target contain non numerical text!
2965|Ma mi no abi moni.|Maar ik heb geen vrede|keep row: both source and target contain non numerical text!
2966|Granmama abi tinafeifi golu gi mi?|<unk> <unk> heeft <unk> voor <unk>|keep row: both source and target contain non numerical text!
2967|Granmama ben lobi en.|<unk> hield van haar.|keep row: both source and target contain non numerical text!
2968|So a taki: Disi mi ben kibri someni langa gi yu.|Zo zei hij: Dit heb ik zolang voor je gegeven.|keep row: both source and target contain non numerical text!
2969|Tek' dya.|<unk> <unk>|keep row: both source and target contain non numerical text!
2970|Dan te yu go na oso taki yu mama odi gi mi.|Als je naar huis gaat, zeg je moeder mij en voor me.|keep row: both source and target contain non numerical text!
2971|Fred taki: Grantangi, oma.|<unk> zei: <unk>|keep row: both source and target contain non numerical text!
2972|Mi sa gi en odi.|Ik zal zijn organisatie geven|keep row: both source and target contain non numerical text!
2973|Dan a waka gwe.|Vervolgens ging hij <unk>|keep row: both source and target contain non numerical text!
2974|Di a kon na oso a taigi en mama dati oma seni taki en odi.|Toen hij naar huis kwam , zei hij tot zijn moeder en zond zijn organisatie|keep row: both source and target contain non numerical text!
2975|Mama taki: Ma Oma no seni no wan sani gi mi tu?|<unk> zei: Maar <unk> zond niets voor mijn organisatie|keep row: both source and target contain non numerical text!
2976|Fred taki: Nono, mama.|<unk> zei: <unk>|keep row: both source and target contain non numerical text!
2977|A gi mi tinafeifi golu fu mi go bai wan langa bruku.|Hij heeft mij gegeven en van mij een lange dag gaan kopen|keep row: both source and target contain non numerical text!
2978|Mama taki: Mi boi, yere dya.|<unk> zei: Ik heb <unk> gehoord|keep row: both source and target contain non numerical text!
2979|Mi no abi moni.|Ik heb geen vrede|keep row: both source and target contain non numerical text!
2980|Yu papa srefi no abi moni.|Uw vader zelf heeft geen <unk>|keep row: both source and target contain non numerical text!
2981|Leni mi a moni fu yu, no?|En ik ben <unk> ls geld|keep row: both source and target contain non numerical text!
2982|Fred luku en mama.|<unk> Zie zijn organisatie|keep row: both source and target contain non numerical text!
2983|Mama lafu nanga en.|<unk> met hem.|keep row: both source and target contain non numerical text!
2984|Dan Fred gi en mama a moni.|Dan en voor zijn moeder de natie|keep row: both source and target contain non numerical text!
2985|Di a mun tapu Fred go aksi en mama a moni san a ben leni en.|Toen de maand op en ging zijn moeder het geld vragen dat zij hem predikte .|keep row: both source and target contain non numerical text!
2986|Mama taki: Yu boi, san psa nanga yu.|<unk> zei: Je En wat is er met je gebeurd.|keep row: both source and target contain non numerical text!
2987|Di yu ben de baby, mi gi yu nyanyan.|Toen u was en ik u <unk> heb gegeven|keep row: both source and target contain non numerical text!
2988|Mi sorgu yu te leki now.|Ik zorgde u tot <unk>|keep row: both source and target contain non numerical text!
2989|Dan san yu wani?|Dan wat uw situatie betreft|keep row: both source and target contain non numerical text!
2990|We, mi no abi moni.|En ik heb geen vrede|keep row: both source and target contain non numerical text!
2991|Te mi abi dan mi sa gi yu.|Als ik heb zal ik je geven.|keep row: both source and target contain non numerical text!
2992|Fred krei te a no ben man moro, bika a no ben man go nyan maspasi na plein.|<unk> En wanneer hij niet kon prediken omdat hij niet in staat was <unk> te eten .|keep row: both source and target contain non numerical text!
2993|Wan mama fowru ben broko tu pikin, wan weti wan nanga wan blaka wan.|Een moeder en een natie verbroken|keep row: both source and target contain non numerical text!
2994|So den tu fowru disi ben gro kon so moi.|Zo ' n twee <unk> groeiden tot zo ' n eenheid|keep row: both source and target contain non numerical text!
2995|Den mama ben leri den fu du ala sani makandra.|De moeder leerde hen alles te doen en te doen|keep row: both source and target contain non numerical text!
2996|Ma Weti Fowru no ben lobi a sani dati.|Maar <unk> had het <unk> niet lief|keep row: both source and target contain non numerical text!
2997|A no ben wani sabi taki Blaka Fowru ben de en brada.|Hij wilde niet weten dat <unk> zijn organisatie was|keep row: both source and target contain non numerical text!
2998|Wan dei den tu fowru ben frei gwe bun fara, te leki den kon miti wan kriki.|Op een dag werden de twee <unk> goed ge<unk> llustreerd en totdat zij een natie ontmoeten|keep row: both source and target contain non numerical text!
2999|Den go sidon tapu wan taki e teki winti.|Zij gaan zitten op een aanhaling|keep row: both source and target contain non numerical text!
3000|Ma baka wan pisten dan Blaka Fowru si wan woron e suku fu kroipi go na wan pikin bon na syoro.|Maar na <unk> dag ziet <unk> een dag naar <unk> naar een kleine boom in <unk>|keep row: both source and target contain non numerical text!
3001|Ma Weti Fowru ben si taki wan sma ben kibri ini wan grangran leti pe a pikin bon ben de.|Maar <unk> zag dat iemand in een <unk> licht beschermde waar de kleine boom stond.|keep row: both source and target contain non numerical text!
3002|Prefu a bari en brada taki wan sma e kibri ini a grangran, a sidon luku nomo.|En hij schreeuwde zijn broeder dat iemand in de natie beschermt en zit zitten|keep row: both source and target contain non numerical text!
3003|Fa Blaka Fowru tyopu a woron, na so a boi naki en kiri nanga wan tiki.|Hoe <unk> en de situatie zo sloeg de jongen hem met een natie ter dood|keep row: both source and target contain non numerical text!
3004|Weti Fowru bigin lafu, dan a frei go na oso.|<unk> begon en ging dan naar huis en ging de natie|keep row: both source and target contain non numerical text!
3005|Di en mama no si Blaka Fowru, a ben ferstan kba san psa.|Toen zijn moeder niet zag en begreep hij al wat <unk> was|keep row: both source and target contain non numerical text!
3006|A ben sari sote taki a bigin krei.|Helaas en begint <unk>|keep row: both source and target contain non numerical text!
3007|Ma prefu Weti Fowru trowstu en mama, a bigin lafu.|Maar <unk> <unk> en troost hem en begon <unk>|keep row: both source and target contain non numerical text!
3008|A taki: Mama, yu no abi fu krei.|Hij zei: En gij hoeft niet eeuwig te zijn|keep row: both source and target contain non numerical text!
3009|Disi na en srefi suku.|Dit is dezelfde situatie|keep row: both source and target contain non numerical text!
3010|Ma mi dati, tiki no e naki mi kiri.|Maar mijn eigen stok slaat mij niet|keep row: both source and target contain non numerical text!
3011|Ai, mi brada no de moro.|En mijn broer is niet meer.|keep row: both source and target contain non numerical text!
3012|Now mi wawan de, dan a moro switi.|Nu alleen ben ik en dan de situatie|keep row: both source and target contain non numerical text!
3013|Ma mama fowru ben e krei nomo.|Maar moeder <unk> predikte <unk>|keep row: both source and target contain non numerical text!
3014|A tra dei Weti Fowru gwe frukfruku, sondro fu taigi en mama wan sani.|De volgende dag en ga <unk> zonder haar moeder te vertellen|keep row: both source and target contain non numerical text!
3015|A go sidon tapu a srefi taki na sei a kriki.|Hij ging op dezelfde manier zitten|keep row: both source and target contain non numerical text!
3016|A winti ben wai so switi.|De natie waaide zo <unk>|keep row: both source and target contain non numerical text!
3017|Ne Weti Fowru taki: Ai, baya.|<unk> <unk> <unk> zegt: <unk>|keep row: both source and target contain non numerical text!
3018|Na esde a boi kiri mi blaka brada.|Bij <unk> doodde de jongen mijn <unk>|keep row: both source and target contain non numerical text!
3019|A puru don gi en.|Hij is dwaas voor hem weg.|keep row: both source and target contain non numerical text!
3020|Dan nanga den wortu disi Weti Fowru fadon go ini wan dipi sribi.|Dan met deze woorden en vallen in een diepe natie|keep row: both source and target contain non numerical text!
3021|So, a boi san ben kiri Blaka Fowru kon si Weti Fowru now na ini a bon.|En de jongen die ter dood werd gebracht en wordt gezien en nu in de natie <unk>|keep row: both source and target contain non numerical text!
3022|So a kren go safri na ini a bon.|Zo is de situatie geleidelijk|keep row: both source and target contain non numerical text!
3023|Dan fa Weti Fowru opo en ai, na so a boi naki en kiri nanga a srefi tiki di a ben kiri en brada.|Toen sloeg <unk> hem op , en zo sloeg de jongen hem met dezelfde stok toen hij zijn natie vermoordde|keep row: both source and target contain non numerical text!
3024|Dati meki bigisma e taki: Na a srefi tiki di naki blaka fowru kiri, na a srefi tiki dati e naki weti fowru kiri tu.|Daarom zegt <unk> n: Op dezelfde stok die <unk> slaat en aan dezelfde stok slaat en doodt.|keep row: both source and target contain non numerical text!
3025|Kownufrow Margreta kisi wan langa noso|<unk> Een lange of lang|keep row: both source and target contain non numerical text!
3026|Wan dei kownu Charles ben go uku en wawan nanga en boto tapu a liba na sei fu en oso.|Op een dag ging koning <unk> hem alleen met hem en op de zijde van zijn huis.|keep row: both source and target contain non numerical text!
3027|Na ini a liba dati furu kaiman ben lai tu.|In die situatie waren veel <unk> ook vragen.|keep row: both source and target contain non numerical text!
3028|Dan kownu en frow Margreta ben e sidon e luku fu a fensre fu en kamra, fa kownu e uku.|Toen keek koning zijn vrouw en keek over zijn organisatie en hoe koningen prediken|keep row: both source and target contain non numerical text!
3029|Baka wan pisten a boto fu kownu drai tapu.|Na een natie van koning keerde <unk>|keep row: both source and target contain non numerical text!
3030|Kownu fadon a liba.|Koning viel de natie|keep row: both source and target contain non numerical text!
3031|Dan den kaiman nyan en.|Toen maakten de <unk> hem op.|keep row: both source and target contain non numerical text!
3032|Kownufrow Margreta lafu, a taki: Ai, now mi kan du san mi wani!|<unk> En hij zei: En nu kan ik doen wat ik <unk> heb|keep row: both source and target contain non numerical text!
3033|So efu wan sma no ben du san a ben wani, a ben meki den srudati trowe a sma ini a liba, meki den kaiman nyan en.|Zo ja , als iemand niet deed wat hij predikte en liet de soldaten de persoon in de natie werpen en ze eten en ze eten.|keep row: both source and target contain non numerical text!
3034|Someni kownu ben aksi en fu trow nanga en, ma a no ben wani, bika a ben feni taki a moi tumsi fu trow nanga den.|En koning vroeg hem met hem te trouwen , maar hij predikte niet , want hij vond dat het voortreffelijk is met hen te trouwen .|keep row: both source and target contain non numerical text!
3035|Owktu a ben denki taki a ben de a moro moi frow di de.|En hij dacht dat hij de mooiste vrouw was die er is.|keep row: both source and target contain non numerical text!
3036|Furu leisi fu a dei a ben tnapu fesi en spikri e meki ensrefi moi èn luku efu ala sani e sidon bun na en skin.|Veel keer van de dag predikte hij voor hem en maakt zich prachtig verzoek of alles goed aan zijn organisatie zit|keep row: both source and target contain non numerical text!
3037|Ma wan mamanten a tnapu bun langa fesi a spikri e luku ensrefi bun fu en ede kon miti en futu.|Maar een dag van lange tijd voor de natie kijkt zich er zorgvuldig voor uit zijn hoofd|keep row: both source and target contain non numerical text!
3038|Dan a kon feni taki en noso langa tumsi.|Toen ontdekte hij dat hij of lang <unk> was|keep row: both source and target contain non numerical text!
3039|Ne a bari wan bigi b'bari so: Waaai, taki ala sma ini a oso ben skreki.|En hij riep een grote natie en dat allen in het huis predikten|keep row: both source and target contain non numerical text!
3040|Den tu waktiman di ben ori wakti na en doro pusu a doro go na insei.|De twee <unk> die op zijn deur wachtten en de deur tot <unk>|keep row: both source and target contain non numerical text!
