|nl|srn
142|De politie en de officier van justitie beslissen hierover.|Skowtu e kruderi nanga officier fu yustitie efu den sa gi yu primisi ija efo no.
2169|De chinees op de hoek is hebzuchtig. Alles verkoopt hij duurder.|A sneisi tapu uku gridi. Ala san a e seri moro diri.
2268|Ik kan de bank niet op Goede Vrijdag maken, omdat ik wil Jezus niet opnieuw aan het kruis spijkeren.|Mi no kan meki a bangi tapu Bun Freida. Mi no wani spikri Yesus baka na a kroisi.
3263|Ik kan dit raadsel niet oplossen.|Mi no man puru a raitori disi.
4067|Wrijf het kind met een beetje olie in.|Wrifi pikinso oli gi a pikin.
2163|Hij nam het papiertje, streek het glad, en las wat erop geschreven stond.|A teki a papira, a grati en, dan a leisi san skrifi na en tapu.
1949|De voorzaal is al geverfd.|A foroisi ferfi kba.
3685|Als je rozen plukt, moet je oppassen dat de dorens je niet steken.|Te yu e piki rosu, yu mu luku bun taki den maka no sutu yu.
3863|Het vlees is taai.|A meti tranga.
2233|Sommige mensen snijden de okers niet als ze soep bereiden. Ze zetten ze heel erin.|Son sma no e koti a okro te den meki supu. Den e poti en her'heri na ini.
4079|Jouw bedrijf draait goed.|A wrokope fu yu e drai bun.
1951|De politie heeft proces verbaal opgenomen maar doet niets aan de zaak.|Den skowtu naki papira ma den poti a tori ini fergitibuku.
2780|Ik heb mijn vinger aan de deur fb{bezeerd|Mi masi mi finga na a doro.
3833|Voor 1975 was Suriname onder het bewind van Nederland.|Fosi 1975 Sranankondre ben de ondro a tiri fu Holland.
2372|De kleermaker naait kleren voor de mensen.|A kleriman e nai krosi gi sma.
1109|Luister, ik ga naar het land om de naam van de koning te weten te komen.|Yere, mi o go na a kondre fu yere a kownu nen.
3471|Het huis ruikt naar muizen.|A oso e smeri moismoisi.
591|Vroeger met korjalen.|Ma a ten dati na kruyara.
3849|Die baby van jou grapt niet. Hij huilt ontzettend hard als hij honger heeft.|A baby fu yu no e meki spotu. A e gi tongo te angri e kiri en.
1576|Nou! Het brood is ook kruimelig.|A brede brokobroko, yèrè.
2682|Doodt de dief niet. We moeten hem in levende lijve naar de politie brengen.|No kiri a fufuruman. Un mu tyari en libilibi gi skowtu.
213|Het is daarom belangrijk dat je goed leest wat is opgeschreven.|Fu dat' ede na wan prenspari sani fu yu leysi bun san skrifi, sobun fa yu wortu poti tapu papira.
778|Zij werd as.|A tron asisi.
2954|A: Wat is er met jou aan de hand? B: Niets is met mij aan de hand.|A: San psa nanga yu? B: Noti no psa nanga mi.
3754|Al zweep je de jongen, hij blijft toch kwaad doen.|Wins' yu e fon a boi, a e tan du ogri.
2043|Vroeger kon je cassavebrood kopen voor één cent per stuk.|Fosten yu ben kan bai kasababrede fu wan sensi wan.
4076|Die bedorven bami die ik heb gegeten, heeft bij mij diarree veroorzaakt.|A pori bami di mi nyan gi mi wán wrokobere.
3802|Dit verhaal heeft een staartje.|A tori disi abi wan tere.
3084|Niet met geweld leidt men een koe naar de stal.|Tranga no e tyari kaw go na pen.
1567|Ik heb de jongen gestuurd om een paar sinaasappels voor me te plukken.|Mi seni a boi fu go broko wantu apresina gi mi.
3137|Als je klaar bent moet je al die stukjes wegbrengen.|Te yu kba dya, yu mu tyari ala den pispisi gwe.
3678|De politie is nog bezig te onderzoeken wie van de mannen het geweer heeft afgeschoten.|Skowtu e ondrosuku ete sortu wan fu den man sutu a gon.
2442|Ik heb de hoest.|A kosokoso teki mi.
3746|Als je niet ophoud met je slechte daden, zal je je straf krijgen.|Efu yu no kba nanga den takrudu fu yu, yu o kisi yu strafu.
1343|De chinese winkeliers verbergen suiker achter de toonbank.|Den sneisi e kibri sukru baka a toonbangi.
2013|Niemand vindt het leuk wanneer de vuilniswagen het smerige vieze water voor hun inrit gelekt heeft.|No wan sma no lobi en te a dot'wagi dropu a dot' fisti) watra na den mofodoro.
273|Hij greep ook de kans om een uitzendbedrijf voor technisch personeel te beginnen.|A grabu na okasi fu opo wan wrokope gi sma di fanowdu wroko fu wan syatu pisiten, spesrutu gi den di abi wan teknik bakagron.
71|De rechter stelt u tijdens een zitting daarover een aantal vragen.|A krutuman o aksi yu wan tu sani abra a du taki den man o lever yu uit.
1087|Anansi was een vriend van de aap.|Anansi ben de wan mati fu Monki.
394|Als je zijn bel ging luiden dan kon je een heel groot stuk worst krijgen.|Dan te yu go loi a dyendyen gi en, dan a gi yu wan bigi pisi worst.
583|'Misschien wou God mij de 'mama' laten nemen maar hij zegt mij de 'papa' te nemen.|"Ma disi leisi a prakseri taki: ""Kande Gado ben wani taki meki mi go teki a mama."
4009|Haal een beetje water voor me.|Teki pikin watra gi mi.
3463|Elk een die zestien jaar geworden is, is verplicht een ID-kaart te maken.|Ibri sma di tapu tin-na-siksi yari mus fu meki wan ID-karta.
2791|Pas op met wie je vriendschap houdt.|Luku bun nanga suma yu e hori matifasi.
3787|Wie heeft die dingen van hier weggenomen?|Suma teki den sani dya?
2707|De dieven renden toen ze de politie zagen.|Den fufuruman lon di den si a skowtu.
2406|Het vliegtuig komt vanavond omstreeks negen uur aan.|A plane o kon tide neti neigi yuru ten so.
1763|Je moet de molen niet halfjes draaien. Je moet het doordraaien.|No drai a miri afu, yu mu drai en lontu.
3123|Het is prettig om naar te luisteren hoe deze jongen op zijn gitaar tokkelt.|A switi fu arki fa a boi disi e pingi a gitara.
1259|Ik heb ruzie gemaakt met de baas dat hij niet voor mij gestort heeft, maar in feite had de bank een fout gemaakt.|Mi ben krutu nanga a baas tak' a no stort gi mi, ala dati na a bangi meki a fowtu.
4063|Ik kam mijn haar 's morgens voordat ik naar buiten ga.|Mi e kan mi wiwiri mamanten yuru fosi mi e go na doro.
526|Een van hen vroeg: Wat is er met je gebeurd, hoe voel je je nu?|Ne wan fu den aksi en: 'San psa? Fa yu firi?
377|Anderen maken er sigaren van.|Tabaka.
1559|Voordat de man in het water sprong, haalde hij adem.|Fosi a man dyompo ini a watra, a hari en bro.
2899|Ik moet mijn haar laten knippen.|Mi mu go koti mi wiwiri.
1963|Let op met deze mensen! Je kan zulke mensen niet vertrouwen.|Luku bun nanga den sma dati! Yu no kan fertrow den sortu sma dati.
3705|We hebben een aangename tijd daar doorgebracht met mijn vrouws familie.|Un psa wan switi ten drape nanga mi frow famiri.
348|Goede bruggen waren er niet.|Den sma no ben abi broki.
2246|Kom je niet binnen?|Yu no e kon na ini?
3739|Denk je dat je het kunt doen?|Yu denki taki yu o man du en?
1709|'s Nachts heeft men afval in de goot gedumpt.|Neti yuru den dompu doti ini a gotro.
1050|Vervolgens doe je het luikje van de zolder open.|Dan yu e opo na loiki na sodro.
590|Nu worden bananen en dergelijke met vrachtwagens en grote auto's vervoerd.|Now na truck nanga bigi wagi e tyari bana nanga den sani dati.
519|Iedereen was geschrokken.|Ala sma kon skreki.
3344|Ook al komt hij me op de knieën smeken, zal het niet genoeg voor me zijn.|Awinsi a kon begi mi tapu en kindi, a no o sari gi mi.
2801|Ik kan me niet meer herinneren wat je me gezegd hebt.|Mi no man memre moro san yu ben taigi mi.
1083|De aap daagde de tijger uit hem te pakken.|Dan Monki bigin dreigi Tigri fu kon tek en.
3382|Als mijn broer zijn zaken geregeld zijn, komt hij niet meer terug.|Efu mi brada tori seti, dan a no drai kon moro.
3770|Dek het eten met een doek af.|Tapu a nyanyan nanga wan duku.
1294|Elke avond luister ik naar het nieuws op de radio.|Ala neti mi e arki nyunsu na radio.
1809|Als de kinderen groot zijn geworden, kun je ze niet meer dwingen om te doen wat je wilt.|Te den pikin kon bigi, yu no kan dwengi den moro fu du san yu wani.
4024|Elke zondag middag gaan de mensen een wandeling maken aan de waterkant.|Ala sonde bakadina den sma e go teki wan koiri na watrasei.
792|Zo wil ze mensen ook pijn laten voelen.|Na so a wani meki libisma mus firi pen tu.
3111|De dief is weggegaan met het klein beetje geld dat ik bewaard had.|A fufuruman gwe nanga a pikinso moni san mi ben kibri.
1980|De twee jongens vochten omdat de ene de fiets van de andere stuk gemaakt had.|Den tu boi feti bika a wan ben broko a trawan baisigri.
2650|Van al de moeilijkheden die er gebeurd zijn, heb ik iets geleerd.|Ini a heri dyugudyugu san psa, mi leri wan sani.
2437|Wanneer oudere mensen elkaar ontmoeten maken ze uit respekt een buiging voor elkaar.|Te den bigisma e miti densrefi dan fu lespeki den e meki wan kosi gi densrefi.
1530|Toen ik die zwerm wespen zag, ben ik weg gerend!|Di mi si a bosu waswasi, mi lon!
1410|Ik ben nu erg zenuwachtig!|Mi de nanga beifi-ati nownowde, baya!
3027|Houd de kast tegen zodat het niet valt.|Ori a kasi fu a no fadon.
3286|De wind waait zachtjes vanavond.|A winti e wai safri dineti.
83|Als u wilt instemmen met uw overlevering, moet u hierover een ver-klaring afleggen bij de officier van justitie of bij de rechter-commissaris.|Efu yu wani agri nanga a du taki den man o lever yu uit, yu musu gi wan ferkrari abra disi na a bigiman fu skowtu efu na krutuman-komsari.
3258|Nadat de bromfiets leeg gelopen was, moest ik hem naar huis duwen.|Di a bromfiets lon drei, mi ben abi fu pusu en go na oso.
20|Behalve als u uw eigen advocaat kiest en deze niet staat ingeschreven bij de Raad voor Rechtsbijstand.|Boiti efu yu teki yu egi afkati san den sma no sabi na a Rai fu Afkatiwroko.
3707|Het lijkt er op dat ze gelukkig hebben samen gewoond.|A sori leki den ben e libi switi nanga makandra.
1562|Het glas is kapot gevallen.|A grasi fadon broko.
973|Zoëven heb ik Awari opgegeten en nu komt Jager met zijn geweer! Wat moet ik doen?|Now mi nyan Awari, dan Ontiman e kon nanga gon! Fa mi e go bigin?
1710|Ik heb het vat omgekanteld om al het water eruit te laten lopen.|Mi dompu a bari meki ala a watra lon kmopo ini en.
4006|De jongen moet een kruidenbad nemen, anders wordt hij niet beter.|I mu tyari a boi go wasi, noso a no e go kon betre.
1098|Egypte had wel voedsel man de andere landen niet.|Egipte ben abi nyanyan, ma den tra kondre no ben abi.
2843|Als ik 's morgens opsta, poets ik mijn tanden.|Te mi opo te mamanten, mi e wasi mi mofo.
886|Dit konijn is al verkocht.|A konkoni disi seri kba.
2507|Die vrouw is naar voren gereden in de kerk, zodat de voorganger voor haar kon bidden.|A frow kroi kon na fes'sei fu a kerki meki domri kan begi gi en.
3203|Wanneer je wat lekkers krijgt om te eten, moet je het met je zus delen.|Te yu e kisi wan switisani fu nyan, yu mu prati en nanga yu sisa.
3494|Toen ik hem vertelde wat er gebeurd was, zei hij niets. Hij zuchtte alleen maar.|Di mi ferteri en san psa, a no taki noti. A soktu nomo.
737|"""Ik waarschuw je,"" zei de oude man."|"""Mi e warskow yu,"" a granpapa taki."
1453|Als je een slang dichtbij je voeten ziet, moet jij je niet bewegen.|Te yu si wan sneki krosbei fu yu futu, yu no mus beweigi.
2689|Het is geen grap een boot van Katwijk naar de stad te roeien.|A no spotu fu lo boto kmopo Katweki kon na foto.
3660|De jongen zal gaan studeren in Nederland.|A boi o go stuka na Bakrakondre.
2126|Elke dag wanneer ik van het werk thuis kom, geven mijn kinderen me hoofdpijn!|Ala gado dei te mi kmopo na wroko, den pikin e gi mi ede-ati!
906|Ik drink graag een beetje kokosnootwater.|Kon mi dringi pikin krontowatra, baya.
4068|Jake vindt het leuk als zijn moeder 's avonds over zijn rug wrijft totdat hij in slaap valt.|Yake lobi te en m'ma e wrif'wrifi en baka te neti, te leki a fadon na sribi.
3196|Een paar weken nadat het tajerblad ontsproten is, kun je de jonge planten oogsten.|Wantu wiki baka te a tayawiwiri sproiti, yu kan koti den pransun.
947|Hij dronk Kip z'n bloed helemaal op.|A dringi ala Fowru brudu te a kba.
2978|Je moet wel heel slecht zijn om iemand aan te kijken en hem dood te schieten.|Yu mus abi bun ogri-ati fu luku wan sma dan yu sutu en kiri.
2759|Als je zo blijf rijden zal je iemand verwonden.|Efu yu e tan rei so, yu o gi sma mankeri.
715|Hij zei: Ik begraaf haar niet.|A taki: Mi no e beri en.
2748|Toen hij me vroeg hem te helpen zijn erf te wieden, had ik niet verwacht dat ik zo'n bosschage zou aantreffen.|Di a aksi mi fu yepi en wai en dyari, mi no ben ferwakti tak' na mama busi mi bo go miti.
686|Maar ze had het niet zelf gedaan, want ze gelooft in mij.|Ma a no a dame yepi, ma na mi yepi.
3543|Als men wild geschoten heeft in het bos, pekelt men het vlees zodat het niet bederft totdat de stad bereikt is.|Te den sutu meti na busi, den e sowtu en fu a tan bun te leki den doro na foto.
2257|De jongen gooide een steen op het dak.|A boi iti wan ston tapu a dak.
3053|Ik kan je het geld lenen, maar dan moet je iets als pand achterlaten.|Mi kan gi yu a moni, ma dan yu mu libi wan sani leki panti na baka.
21|Dan moet u de kosten wel zelf betalen.|Yu o abi fu pai a afkati yu srefi dan.
885|Geef mij liever wat van jou konijnevlees omdat we nu honger hebben.|Baya, a betre yu gi mi wan pisi fu a konkoni, bika na angri de nanga wi now.
917|Zeg niet dat ik hier ben.|No taki mi dya.
2554|Toen de bus aangekomen was, probeerden iedereen zich erin te drukken.|Di a bus rei kon, ala sma pruberi fu kwinsi go na ini.
3438|Vroeger waren we goede vrienden met de buren, maar nu bemoeien we niet meer met ze.|Fosi un nanga den sma fu sei ben de bun mati, ma now un skotu den.
4075|Wat is je beroep?|Sortu wroko yu e du?
1265|Waar je ook gaat, kom je verraders tegen.|Alape yu e go, yu e feni konkruman.
483|Ze speelden de hele nacht door tot de dag aanbrak.|Den prei, den e prei, eri neti te dei opo.
3102|De vrouw moet straks bevallen van een kind.|Dyonsro a frow o meki wan pikin.
3589|Suriname, Suriname, mijn mooi land, ik hou van jou!|Sranankondre, Sranankondre, mi moi kondre mi lobi yu!
277|Pansa', groeide uit tot producent van hoogwaardige stalen machines de mijnbouwsector en water voor en voedselverwerkingsindustrie.|Pansa ben gro tron wan fabriki di e meki fini isri masyin di de fanowdu fu wroko gron gudu, wroko watra nanga meki nyanyan sani bisnis.
988|Anansi zeg het tegen niemand.|Anansi, no taigi no wan sma.
2084|Het kind is een beetje verkouden, daarom is het huilerig.|A pikin frikowtu pikinso, dat' meki a e kreikrei.
1245|Nadat hij de anderen met ruzie had gezocht, wilde hij ook mij uitdagen.|Di a kba suku den trawan nanga trobi, a wani tyari en doro ai kon na mi!
571|Hij maakte het eten klaar voor de kinderen voordat ze naar school gingen.|A yepi den pikin fu den nyan, fu den kan go na skoro.
1435|Die wonderdokter heeft aan de vrouw gezegd, dat ze een buikketting moet aantrekken om beter te kunnen worden.|A bonuman taigi a frow taki a musu weri wan bereketi fu kan kon betre.
993|Streken zijn goed, maar je moet niet zo geslepen zijn dat je anderen niet betaalt.|Yu musu abi streik, ma yu no musu abi streik fu a kon dati yu no pai sma.
2351|De moeder sloeg haar eigen kind dood.|A mama fon en eigi pikin kiri.
2347|Ik heb een eind gemaakt aan de situatie.|Mi kiri a tori.
585|Hij kwam naar de aarde en ging naar het huis waar God hem gestuurd had.|Dede kon na grontapu, a go na a oso pe Gado seni en.
1349|Je moet alle moeite doen om het doel te bereiken. Laat niets je weerhouden.|Yu mus du ala muiti fu doro a marki. No meki no wan sani ori yu na baka.
1007|Hij schept vreselijk op.|A e skepi leki san.
674|Het meisje werd onderwijzeres.|A meisye tron skoro-ifrow.
447|Dat is nu een betaalkantoor van de EBS|EBS den e kari en now.
3176|Je treft veel mensen die portugees spreken in de buurt van Tourtonne aan.|Yu e feni wan lo sma san e taki potogisi na Tourtonne sei.
3106|Sommige honden bijten niet. Maar als ze kleintjes hebben, dan zijn ze agressief.|Son dagu no e beti. Ma te den abi pikin, dan den e krasi.
2064|Je moet niet bang zijn in je eigen huis.|Yu no mus frede ini yu eigi oso.
3283|Hij blaast zachtjes op zijn hoorn.|A e bro safri tapu a tutu.
2592|Zet het boek niet aan de rand van de tafel. Het zal vallen.|No poti a buku na a lanki fu a tafra. A o fadon.
1690|Graaf die bloemen naast de goot niet uit.|No diki den bromki puru na sei a gotro.
3427|Zet de televisie een beetje schuin zodat ik beter kan zien.|Poti a teevee afu skoinsi meki mi kan si en moro bun.
1247|Zet de deur voor me op de haak, anders slaat hij straks dicht.|Aka a doro gi mi, noso dyonsro a o naki tapu.
1985|Het kind heeft een vechtgeest. Daarom houdt ze van vechten.|A pikin abi wan fetibakru. Dat meki a lobi feti.
294|Je drilt de koek tot hij dik geworden is, dan doe je er meel en boter bij.|Te a kon deki moi dan yu e poti blon nanga botro.
1547|Als je platvoeten hebt, moet je speciale schoenen dragen.|Te yu abi bredefutu, yu mus weri wan spesrutu susu.
2012|Ik kon gisteren niet komen. Ik had mensen op bezoek.|Mi no ben man kon esde. Mi ben abi sma tapu fisiti.
588|Je begrijpt dat er niet voldoende geld was.|Bika yu srefi kan ferstan dati wan leti moni no ben e kon.
2129|Je moet niet zo veel groene manja's eten, anders krijg je geelzucht.|Yu no mu nyan someni grun manya; yu o kisi gari.
3647|Hij heeft drie jaren straf uitgezeten.|A koti dri yari strafu.
425|Toen ik een grote kasjoema wilde plukken, brak de tak waarop ik stond af.|Fa mi wani broko wan bigi kasyuma, a taki pe mi tnapu broko fadon.
1054|Hij kan nergens heen.|A no kan go no wan enkri presi.
3451|Ik ken het boek wel waarover je het hebt, maar ik ken de schrijver niet.|Mi sabi a buku san yu e taki, ma mi no sabi a skrifiman.
556|Ze kon haar handen en voeten niet gebruiken.|A no ben kan kebroiki en anu, a no ben kan kebroiki en futu.
3130|Je moet je dochter leren dat ze haar benen niet moet spreiden als ze zit.|Yu mu leri yu umapikin tak' te a sidon, a no mus piri en futu.
2670|Kijk dat boek aan de rechterkant van de kast.|Luku a buku na a let'sei fu a kasi.
3676|Vandaag heeft mijn oom een pingo neergeschoten.|Tide mi omu sutu wan pingo.
3673|Toen het hard regende, liep het hele erf onder.|Di alen kon hebi, a heri prasi sungu.
3596|Deze jongen is intelligent. Hij snapt alles heel gauw.|A boi disi srapu. Es'esi a e grabu ala sani.
1193|Anansi moet er zijn!|Anansi mu de!
1716|Zondag aanstaande worden de kinderen in de kerk gedoopt.|Sonde di e kon den o dopu den pikin na kerki.
2805|Zijn duim doet hem zo vreselijk pijn dat hij zelfs de lichtste aanraking niet kan verdragen.|A doi fu en hati en so tranga tak' not'noti no man meri en.
3742|Voor een tijdje was Karls broer woordvoeder van de regering.|Wan pis'ten Karl brada ben de takiman fu lanti.
4072|Waarom werk je zo hard?|Sanede meki yu e wroko yu skin so?
2711|De hoepel is rond.|A upru lontu.
1285|Er ontstond hongersnood in het land, omdat zware regens de oogst vernietigd hadden.|Angriten kon ini a kondre fu di wan bigi alen pori ala a nyanyan.
2583|Hoelang blijft u dit keer?|O langa yu o tan disi leisi?
3976|De wacht begint midden in de maand.|A wakti e bigin mindri fu a mun.
3948|Op de Katholieke scholen dragen de jongens een blauwe korte broek en de meisjes een blauwe rok.|Na den Lomsu skoro den manpikin e weri blaw syatu bruku èn den umapikin e weri wan blaw koto.
2087|Wanneer word je jarig?|Oten yu o frijari?
1889|Roer niet zo hard in de kan. Je zal koffie op de tafel morsen.|No drai so tranga ini a kan. Yu o meki kofi fadon tapu a tafra.
1591|Het huis op de hoek is helemaal afgebrand.|A oso tapu a uku bron te na gron.
3659|Toen ze de koek uit de oven haalde, strooide ze suikermuisjes erop.|Di a puru a kuku ini a onfu, a stroistroi sukrumoisi na en tapu.
2162|Wie heeft die bacoveschil hier gegooid! Het heeft me doen uitglijden en vallen.|Suma trowe a bakba buba dya! A meki mi grati fadon.
3715|Hij kon het vlees niet in de zak krijgen, maar hij bleef duwen totdat het lukte.|A meti no ben man go ini a saka, ma a syobusyobu en te leki a go.
2271|Mijn grootmoeder was een volbloed Indiaanse vrouw.|Mi granmama ben de wan kankan ingi frow.
3341|Toen de jongen zijn moeder zo verdrietig aankeek, begon ze te huilen.|Di a boi luku en mama so sari, a mama bigin krei.
1137|Dan wordt hij weer stil.|Dan a sa tan tiri.
2641|A: Wil je nog een borrel? B: Neen, Ik voel me al licht in het hoofd.|A: Yu o dringi ete wan syòt? B: No, mi ede lekti kba.
3900|Sommige mensen willen niet trouwen. Ze leven maar in concubinaat.|Son sma no wani trow. Den e seti libi nomo.
3921|Je overdrijft.|Yu e meki en tumsi.
1711|Hij loopt mank omdat hij zijn ene been heeft gebroken.|A e dompu fu di a broko en wan sei futu.
3428|Waarom kijk je naar me met schele ogen? Ik heb je niets gedaan.|Sanede yu e luku mi wan skoinsi-ai? Mi no du yu noti.
453|Maar plaatsen als Montresor, Katwijk, Alkmaar, en Leliëndaal zijn nu nog erg bekend.|Ma presi leki Montresoro, Katweki, Alkmaar, en Leliëndaal ala den pranasi pranasi disi de ete.
913|Kakkerlak rende rond.|Kakalaka e lon ala sei.
2769|Ik weet niet wat men hier gezet had, maar het heeft een afdruk in het zand achtergelaten.|Mi no sabi san den ben poti dya, ma a sani libi wan marki na baka ini a santi.
1199|Je hoeft niet alleen te lopen, ik zal met je meegaan.|I no abi fu waka yu wawan, mi sa kon nanga yu.
1274|Toen het kind moe werd, leunde het op haar moeders schoot.|Di a pikin kon weri, a anga tapu en mama bowtu.
2375|Toen ik de geit probeerde los te maken, heb ik het touw waaraan hij vastzat in de knoop doen raken.|Di mi suku fu lusu a krabita, mi knopo a titei fu en.
37|Dit kost u niets.|Yu no abi fu pai wan sani.
974|Waar zal ik je verstoppen?|Pe mi o poti yu dan?
983|Hij pakte zijn geweer, hij schoot.|A teki en gon, a sutu.
2761|Wie is nog afwezig?|Suma mankeri ete?
1418|Als Romario speelt houdt een ieder ervan te kijken hoe hij de tegenspelers omspeelt.|Ala sma lobi luku te Romario e prei, fa a e beni den tra man.
1560|De jongen bezorgt me hoofdpijn. Hij blaast de hele dag op zijn trompet.|A boi e weri mi ede. Heri dei a e bro en tutu.
39|U kunt maximaal drie dagen op het (politie) bureau worden vast-gehouden.|Skowtu kan hori yu no moro leki dri dei na skowt'oso/biro.
1486|Verraders moeten oppassen! Het zou beter voor ze zijn als ze niet geboren waren.|Den konkruman mus luku bun! A bo moro bun gi den efu den no ben si a krin fu dei.
2636|Je hoeft het licht niet aan te maken. De kamer is al genoeg verlicht.|I no abi fu leti a faya. A kamra lekti nofo kba.
169|1. Vóór het verhoor|1. Fosi a verhoor
1355|Nadat ik van het werk was gekomen, begon het te regenen.|Baka di mi kmopo fu wroko, alen kon.
2476|Na zijn ziekte, had hij geen kracht meer.|Baka di a siki, a no ben abi krakti moro.
3731|Ik heb hem gezegd om zijn spullen te pakken en te vertrekken.|Mi taigi en fu piki en taitai dan a gwe.
3897|Zet de koekjes in de trommel, anders zullen de muizen ze opeten.|Poti den kuku ini a tromu, noso moismoisi o nyan den.
3195|Hoe meer de dingen versierd zijn, des te meer houden zij ervan.|O moro den sani lai pranpran, o moro den lobi en.
1640|De goot verspreid een onaangename geur.|A gotro e dampu.
1290|Vandaag heb ik niet veel rijst gekookt, ongeveer een handjevol.|Tide mi no bori furu aleisi, kande wan anu so.
1380|Ik ga mijn geld bij de bank wisselen.|Mi e go broko mi moni na bangi.
1933|Er is geen stroom.|Faya no de.
579|Op een dag vermoorde de Heer hun gebed.|Wan dei Masra yere a begi fu den.
3424|Wie heeft die tafel gemaakt? Het staat scheef.|Suma meki a tafra? A e tnapu skoinsi.
2030|Neem een paraplu mee! Die man praat met consumptie.|Tya wan prasoro! A man dati e flit te a e taki.
892|Luister hoe het verder ging.|Ma yere fa a sani waka moro fara.
780|Deze wormpjes ontwikkelen zich tot muggen.|Na den woron dati e tron maskita.
159|Als een tolk heeft geholpen bij het gesprek met een advocaat, mag hij of zij daarover ook niets tegen de politie zeggen.|Te a tolk keba yepi, en srefi owktu no mag ferteri skowtu kwetikweti san yu nanga yu afkati ben kruderi.
2|Een lidstaat van de Europese Unie heeft aan het openbaar ministerie in Nederland om uw overlevering gevraagd.|Wan kondre sa de membre fu a bontu fu den bakrakondre, aksi a kantoro fu a granfiskari na ini Holand, fu lever yu uit.
2826|Ik heb mezelf verwond toen ik de takken kapte.|Mi gi misrefi mankeri di mi ben e kapu den taki.
3682|Omdat de schoenen te groot waren voor mijn voeten, heb ik papier erin gestopt.|Fu di a susu ben bigi gi mi futu, mi sutu papira go ini a susu.
849|Je bent aan het krabben op zoek naar wormen in het zand.|Yu e krabu piki woron na ini santi??
3598|Zelfs de politie weet niet wie die wagen gestolen heeft.|Skowtu srefi no sabi suma fufuru a wagi.
1596|Die olie die op mijn voeten viel, heeft bij mij een brandwond veroorzaakt.|A faya oli san fadon tapu mi futu, opo wan bronsoro.
1776|Nadat ik de afwas gedaan had, heb ik al de borden staan afdrogen.|Baka di mi wasi dot'sani, mi tnapu drei ala den preti.
1913|De dikste vrouw ter wereld woont in Italië.|A moro fatu frow fu grontapu de ini Italië.
1043|De muziekband van Anansi.|A band fu Anansi.
1544|Met Kerst hebben we een doks gebraden.|Kresneti dei un brai wan doksi.
3727|Ik kan deze koeken niet eten. Ze zijn taai.|Mi no man nyan den kuku disi. Den tai.
53|aangeven wat de voor- en nadelen zijn van instemmen met uw overlevering en welke gevolgen dit voor u heeft (zie ook hieronder);|sori yu san den de fordeil nanga den nadeil fu agri nanga a du taki den man o lever yu uit, nanga sortu marki disi abi fu yu (luku owktu ondrosei);
3995|Toen ik naar de markt ging, kocht ik groenten, kassave en een paar andere dingen.|Di mi go na wowoyo mi bai gruntu, kasaba nanga wantu tra sani.
1911|Van kleinsaf heb ik één vaste vriend.|Sensi mi e gro kon, mi abi wan fasti mati.
2929|Deze man spreekt alleen maar Sranan Tongo.|A man disi e taki soso nengre.
3974|Tegenwoordig moet je lang wachten op een bus.|Nownowde yu e wakti langa fu feni wan bus.
2803|Ik kan niet deelnemen aan het avondmaal omdat ik geen lid ben van deze kerk.|Mi no man nyan granbun bika mi a no wan memre fu a kerki disi.
824|Neem het geld om eten te kopen.|Teki moni go bai nyanyan.
3711|Ik kan niet tegen de schandelijke dingen die ze daar doen.|Mi no man nanga den syen sani san den e du drape.
1389|De jongen schreeuwde toen hij zich in zijn voet sneed.|Di a boi koti en futu, a bari.
3398|Wie huilt daar zo? Het gehandicapte kind naast.|Suma e krei so? A sikisiki pikin fu sei.
2589|De man is mij zonder reden komen slaan.|Langalanga a man kon dan a naki mi.
1607|Snij de schimmel weg, en geef het kind het brood.|Koti a buku puru, dan yu e gi a pikin a brede.
1594|Als je klaar bent, moet je die aangebrande korst voor de kippen gooien.|Te yu kba dan yu mus go trowe a bronbron disi gi den fowru.
771|Toen het bloed in het water viel, viel de vrouw ook in het water.|Ma lek fa a brudu fadon na ini a watra, a so ensrefi tu fadon na ini a watra.
2273|Je moet de vracht goed regelen anders gaat de boot naar een zijde kantelen.|Yu mu poti a lai bun noso a boto o kanti go na wan sei.
1868|Boiki's vader plantte groenten en hij kweekte kippen en een koe.|Boiki papa ben prani gruntu èn a ben kweki fowru nanga wan kaw.
1085|Ze zullen nooit vrede sluiten.|Noiti noiti den sa kon bun baka.
2813|Toen de wagen hem aanreed, heeft het een groot stuk vlees van zijn voet weggeslagen.|Di a wagi naki en, a puru wan bigi pisi meti fu en futu.
1325|Als kinderen tanden botten, kwijlen ze erg.|Te pikinnengre e kisi tifi, den e baba furu.
1463|Johan Adolf Pengel was een belangrijk persoon in Suriname.|Yohan Adolf Pengel ben de wan bigiman fu Sranan.
806|Vraag ze wat geld.|Go aksi den wan pikin moni.
2543|Wacht tot het water kookt, dan zet je de thee erin.|Wakti te a watra kuku, dan yu poti a te ini en.
2567|De stand van het water in de kreek is laag.|A watra lagi ini a kriki.
2108|Ik heb dit pak speciaal voor hem gekocht, maar hij draagt het niet.|Mi bai a paki spesrutu fu en, ma a no e weri en.
2934|Ik kan morgen niet komen.|Mi no man kon tamara.
4078|Ik houd er niet van dat men me komt opzoeken op mijn werkplaats.|Mi no lobi te sma kon suku mi na mi wrokope.
2234|Het hele land rouwde toen Dobru overleed.|A heri kondre ben row di Dobru dede.
963|Tijger dronk.|Tigri dringi.
